"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"DNN10",1.75977463215452,0.203359659777042,4378448.04310742,8.65350893133817,4.99561497636198e-18
"DNN11",0.48549773272057,0.178343041758477,4378439.75474683,2.72226899313548,0.00648356010692412
"DNN12",-0.454493179363663,0.205426346882088,4378426.87261108,-2.21243860031516,0.0269364256569266
"DNN13",-1.53488111201898,0.191375324498451,4378458.15289029,-8.02026654189371,1.05541650770626e-15
"DNN14",-1.577589481747,0.210496626899511,4378436.27563617,-7.49460694446248,6.65097337661479e-14
"DNN15",0.166899023673104,0.187743908022127,4378435.96375318,0.88897171381685,0.374018330751856
"DNN16",0.913143486850043,0.197672060539894,4378459.6167935,4.61948686301953,3.84701158582659e-06
"DNN17",0.346897415241279,0.188902479179053,4378435.55571844,1.83638360252789,0.0663010107298657
"DNN18",-0.496621581651982,0.185049192942533,4378441.53649079,-2.68372735787185,0.00728067263658751
"DNN19",-0.554809094390701,0.185065832321843,4378446.9871169,-2.99790127345522,0.00271847245963659
"DNN20",0.294656528914631,0.181973675426781,4378467.28031274,1.61922612280912,0.105398691385536
"DNN21",0.823390698922249,0.207845762580605,4378460.98045121,3.96154671954368,7.44669852082788e-05
"DNN22",0.862642031008496,0.18323297442102,4378439.79056235,4.70789732980255,2.50292743015362e-06
"DNN23",-0.344093295706998,0.192685867852007,4378435.41364327,-1.78577339138997,0.0741360258760754
"DNN24",0.467393509251369,0.204015958861034,4378432.66724986,2.29096543162947,0.0219654603385032
"DNN25",2.05800849110865,0.206233320864713,4378433.58000881,9.97902997672569,1.88407341674474e-23
"DNN26",-0.46146697433898,0.182611218865971,4378438.87415323,-2.52704613224053,0.0115026741388576
"DNN27",-0.111464541074589,0.18084525602004,4378444.96007471,-0.616353138189243,0.537661506897564
"DNN28",0.205206384292027,0.197825029101755,4378436.46691686,1.03731254444288,0.299590278676805
"DNN29",1.19768807829906,0.194696065368727,4378434.4928162,6.15157823570194,7.67222670587979e-10
"DNN30",0.282771774002854,0.198933187669076,4378436.99274173,1.42144092353883,0.155188687731454
"DNN31",0.646468624491057,0.181320605187683,4378441.35910289,3.56533458413016,0.000363396168153582
"DNN32",0.16680900857494,0.193568337007311,4378429.07163393,0.861757719025295,0.388820903281657
"DNN33",1.54758353250823,0.182990770724019,4378428.94436008,8.45716713681829,2.74033391763175e-17
"DNN34",-0.556472731474657,0.20633479660254,4378434.10961741,-2.69694080027899,0.00699799776903447
"DNN35",0.313120264232552,0.190993818039466,4378434.91257663,1.6394261733008,0.101124606246404
"DNN36",-1.0097193995649,0.194127904710958,4378439.69437443,-5.20130993567513,1.9789764976158e-07
"DNN37",-2.08465941531513,0.214262630731726,4378442.56074952,-9.7294586937341,2.25909250967333e-22
"DNN38",-2.23171677387649,0.202277983315629,4378477.811747,-11.0329198328727,2.65343388323245e-28
"DNN39",0.52721249658466,0.20662067132927,4378440.06634937,2.55159608761747,0.0107231088033975
"DNN40",0.322742225527492,0.191795495869917,4378455.44552773,1.68274142238662,0.0924252304993063
"DNN41",-1.56605228516678,0.202721992597478,4378444.8601183,-7.72512279058106,1.11769053892194e-14
"DNN42",-0.817701210733231,0.204037331850968,4378440.68167991,-4.00760587935199,6.13383796717424e-05
"DNN43",-0.0471159781601756,0.211975007245628,4378460.15971727,-0.222271383652222,0.824102637834916
"DNN44",-1.62377808404126,0.196309676551424,4378447.96579436,-8.271513216089,1.32305747750179e-16
"DNN45",-0.15702343967668,0.207303913122807,4378447.56226665,-0.757455261269762,0.448777200224369
"DNN46",-0.340704672486519,0.214380136771733,4378427.24026261,-1.58925485176499,0.112002939445778
"DNN47",0.53444061186773,0.202910675198313,4378441.93952208,2.63387133942263,0.00844177663744451
"DNN48",0.381664849703981,0.2144184247018,4378439.46602503,1.78000025060709,0.0750759890169238
"DNN49",-0.267489896694659,0.191402094349519,4378440.42648484,-1.39752857775002,0.162254749913803
"DNN50",0.81148743893845,0.212064199535727,4378430.6890004,3.82661213309481,0.000129920784389741
"DNN51",0.413414282993546,0.211454811389756,4378428.01390678,1.95509518216417,0.0505719003519913
"DNN52",1.09815309995947,0.203858883986368,4378447.12853095,5.38682974460361,7.17149864089746e-08
"DNN53",-0.900154370276554,0.202787106256319,4378489.34500204,-4.43891323711073,9.04164568162917e-06
"DNN54",1.96377459534442,0.220844489942485,4378487.64856036,8.89211497128976,5.99785547023781e-19
