"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"DNN27",-0.713327241058228,0.13079741607308,4378472.91120002,-5.45367991566187,4.93406353465526e-08
"DNN28",-2.84076504161731,0.173766587213958,4378528.77766616,-16.3481661645313,4.50114332477226e-60
"DNN29",-0.806193242377041,0.14969297586463,4378974.68962767,-5.38564510272077,7.21889751633515e-08
"DNN30",1.39910626273511,0.166794239916553,4378511.76785809,8.38821690386359,4.93714423459335e-17
"DNN31",-3.50891011827095,0.192705025603184,4378508.31610978,-18.2087109938506,4.42977109436800e-74
"DNN32",1.97828819044108,0.145662934002272,4378820.44653227,13.5812738085464,5.1820720099526e-42
"DNN33",1.57363794155717,0.169162033512868,4378488.34844409,9.30254802971178,1.37179511037356e-20
"DNN34",2.47309941601737,0.181533973309609,4378729.09647267,13.6233420716213,2.91521533665868e-42
"DNN35",0.882275573895504,0.131730007014145,4378629.95398181,6.69760515385662,2.11888190609794e-11
"DNN36",-0.200057106914529,0.147600872118697,4378537.73212734,-1.35539244479293,0.175292625395535
"DNN37",2.73779450410417,0.153668788605504,4378718.91529252,17.8162041163257,5.32141733481886e-71
"DNN38",-3.89041825822457,0.161448549471309,4378539.07043712,-24.0969539272072,2.74291664827054e-128
"DNN39",0.107473784144316,0.177243866072562,4378546.67555403,0.606361091787048,0.544275030649918
"DNN40",0.37165976663851,0.157919444891022,4378677.90675642,2.35347690650121,0.0185988070634262
"DNN41",1.82696837421129,0.150530725609042,4378481.39279736,12.1368469249015,6.74571577278636e-34
"DNN42",0.117219922046241,0.162599730459174,4378486.61459107,0.720910924730426,0.47096435935666
"DNN43",-2.07984559171503,0.152892399337476,4378563.90797665,-13.6033288817989,3.83371037704192e-42
"DNN44",-0.526915611063323,0.127786231383136,4378528.41689317,-4.12341459138499,3.73303787254403e-05
"DNN45",-0.09018691678946,0.134324441761258,4378500.993029,-0.671411067166419,0.501958731963634
"DNN46",0.121709530159547,0.173884755871744,4378613.56841776,0.699943646867574,0.483962535301237
"DNN47",0.822788372880923,0.127371485148617,4378679.38985557,6.45975331072645,1.04884721039506e-10
"DNN48",2.95223921897446,0.132838992536188,4378492.13015564,22.2241915766578,2.03282518293164e-109
"DNN49",-1.31273868411532,0.14679629578833,4378593.51264101,-8.94258725716214,3.80305725883192e-19
"DNN50",-0.146774285210639,0.178308323576678,4378533.40825933,-0.823148814741234,0.41042341703423
"DNN51",-0.211080121692201,0.149605961774217,4378463.70040194,-1.41090715362507,0.158272063620177
"DNN52",1.25113256135197,0.169163626363628,4378651.12310013,7.39599042800481,1.40382967642481e-13
"DNN53",0.534710509717015,0.149703564450625,4378760.37214546,3.57179544574821,0.000354546086645573
"DNN54",-0.531569959050646,0.155529501455773,4378730.9804823,-3.41780790187774,0.000631282192476061
"DNN55",0.726942688338315,0.14853491602661,4378469.17611132,4.89408623766336,9.87670282150885e-07
"DNN56",3.30155970175615,0.172763304945702,4378475.51617065,19.1103064553772,2.08841166935684e-81
"DNN57",-0.567007052261031,0.161694403841041,4378472.1467782,-3.50665847915458,0.000453775674469239
"DNN58",0.0358450837437817,0.145377467426853,4378470.63746083,0.246565608675342,0.805244434738611
"DNN59",-1.73348081602596,0.140400101064197,4378484.524165,-12.3467205713288,5.08060585445906e-35
"DNN60",1.33855516497965,0.173018525632973,4378508.03578116,7.73648463413192,1.02224929913161e-14
"DNN61",-0.294422794630162,0.131740620208582,4378566.48188452,-2.23486722746567,0.0254261169088353
"DNN62",-0.088279752071052,0.139805074167435,4378462.37252715,-0.631448841158121,0.527747122572991
"DNN63",0.0354257033591038,0.138933100704283,4378468.5258951,0.254983896418658,0.798735549003031
"DNN64",-0.458827158978613,0.160513424021245,4378657.96579749,-2.85849711185454,0.00425654991605914
"DNN65",0.420367636114742,0.151936063200029,4378477.39777409,2.76674034630812,0.00566200689161695
"DNN66",0.815717531303332,0.14621667655411,4378495.49634752,5.57882691993385,2.42160272611056e-08
"DNN67",-1.09120953341005,0.135614985441357,4378467.93375355,-8.04637872325633,8.53008533808339e-16
"DNN68",1.90626134426946,0.170633994414725,4378551.52644827,11.1716387511641,5.6186274374714e-29
"DNN69",-0.595302628210134,0.132852117749371,4378450.3517841,-4.48094195482219,7.43162003761844e-06
"DNN70",-1.73760306829885,0.139893419188479,4378578.49779868,-12.4209064184625,2.01545365097318e-35
"DNN71",0.221096510899983,0.150487965983948,4378673.39597341,1.46919728401118,0.141779358607451
"DNN72",0.946494128780681,0.140906270018894,4378512.44187293,6.71718958037683,1.8528535632155e-11
"DNN73",-0.198454441993386,0.123108304270699,4378452.04257554,-1.61203131802556,0.106955196942575
"DNN74",-0.615620436576032,0.140802988508041,4378548.88240782,-4.37221143598721,1.22997153648173e-05
"DNN75",0.342369478536326,0.144021129033494,4378458.25456524,2.37721701554433,0.0174438646414497
"DNN76",0.413954112228343,0.129502165368796,4378466.85089863,3.19650340246809,0.00139105173089894
"DNN77",0.301853999613594,0.143571631731612,4378462.50654472,2.10246269386887,0.0355128212431803
"DNN78",0.0737248276012182,0.137076006817569,4378483.06202301,0.537839037719683,0.590688205851389
"DNN79",0.961314995328638,0.143217261283988,4378455.92547613,6.71228444609364,1.9162390976316e-11
"DNN80",-1.09415962447662,0.140776939738002,4378447.16724421,-7.77229300844974,7.70944858673466e-15
"DNN81",0.526488753108364,0.124706807256064,4378456.2068695,4.22181246311045,2.42350588300613e-05
