"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"DNN27",-0.861552104696339,0.13865789401054,4378488.96126543,-6.21350923324168,5.18188220928542e-10
"DNN28",-2.06501381040484,0.190710382424166,4378490.79318103,-10.8280093834218,2.5381109480887e-27
"DNN29",-1.16665061447648,0.156831123351566,4379007.5291922,-7.43889726442383,1.01547629848945e-13
"DNN30",0.882717999691402,0.162153040684252,4378519.52322335,5.44373386996948,5.2177944067025e-08
"DNN31",-3.64502781670026,0.190547200426393,4378509.55161991,-19.1292646050096,1.45204389286418e-81
"DNN32",3.210583122844,0.152527230353123,4378902.18659463,21.0492455374102,2.34979339097659e-98
"DNN33",2.20483769109852,0.182938335441045,4378475.14802355,12.0523546132793,1.88717780748717e-33
"DNN34",2.23968108718614,0.19317848733299,4378737.9525224,11.5938431763652,4.43272003956127e-31
"DNN35",1.49057341573975,0.136675119631564,4378711.0175444,10.9059602051778,1.08036194639949e-27
"DNN36",-0.540952869146483,0.152139863074408,4378527.58952541,-3.55562873670995,0.000377080220994976
"DNN37",2.74960425561515,0.16156029957833,4378813.17451242,17.0190589073651,5.96030918953068e-65
"DNN38",-2.9055701367079,0.163521642573881,4378532.59412738,-17.7687191186031,1.24187308314326e-70
"DNN39",-0.126620101439891,0.18067356383078,4378566.21018445,-0.700822515232414,0.48341382235859
"DNN40",1.00968939787545,0.178922448487479,4378567.01860974,5.64316778811634,1.66959766694678e-08
"DNN41",2.56432249011493,0.160993771833864,4378462.12657359,15.9280850489121,4.06059203889001e-57
"DNN42",-1.22542800438417,0.16870562912592,4378442.92431956,-7.26370548945661,3.76689684953199e-13
"DNN43",-2.49680740074065,0.15675252908663,4378505.87633417,-15.9283388618297,4.04414592966695e-57
"DNN44",-0.34813188337975,0.138614961790333,4378615.40129815,-2.51150293506071,0.0120218643111739
"DNN45",0.454665189390232,0.1446914419811,4378656.00386438,3.14230878595862,0.00167622274876782
"DNN46",0.162895815359043,0.178639802746118,4378501.68287247,0.911867416191396,0.361838566231815
"DNN47",0.299170881966339,0.143803792452033,4378712.87514185,2.08041023720657,0.0374879790793349
"DNN48",2.37436187426153,0.133104310942578,4378568.13761641,17.8383544262954,3.58104291495217e-71
"DNN49",-1.96301012609084,0.151730661469765,4378620.44539227,-12.9374650256962,2.77054749892649e-38
"DNN50",-0.894761363659354,0.197093643832073,4378552.69336311,-4.53977787544333,5.63150172157713e-06
"DNN51",0.0841972394571279,0.152596713246695,4378438.91401897,0.55176312559898,0.581110682337138
"DNN52",0.80907176544707,0.181451969558549,4379113.69929427,4.45887563202231,8.23927499631604e-06
"DNN53",1.43546190136845,0.165500213690454,4378895.86840442,8.67347460984727,4.19269658018654e-18
"DNN54",-2.17028521605679,0.161301775714146,4378653.47732271,-13.4548129209867,2.89014689525908e-41
"DNN55",-0.121547120146258,0.160290229431874,4378466.56894893,-0.758294005673735,0.448275035818529
"DNN56",2.72568857516461,0.202281031950661,4378490.65887872,13.4747610731462,2.20616423498824e-41
"DNN57",-0.912138473427371,0.169081699397111,4378445.79035964,-5.39466114121015,6.86565359646505e-08
"DNN58",0.281586766711406,0.157037562613671,4378491.92136698,1.7931172773239,0.0729542425648378
"DNN59",-1.50891909559758,0.144883888441974,4378556.59727953,-10.414678345701,2.1266015952e-25
